date,hour,min,sec,pos_x,pos_y,pos_z,rot_x,rot_y
2019-01-16,11,39,03.8076,0.0113,0.0717,0.1379,1.2833,2.3252
2019-01-16,11,39,03.8480,0.0146,0.0715,0.1453,1.4614,2.3537
2019-01-16,11,39,03.8835,0.0159,0.0719,0.1487,1.3719,2.2225
2019-01-16,11,39,03.9239,0.0167,0.0726,0.1515,1.0766,1.9455
2019-01-16,11,39,03.9633,0.0177,0.0727,0.1545,1.0235,1.6093
2019-01-16,11,39,04.0013,0.0184,0.0716,0.1555,1.4952,1.5162
2019-01-16,11,39,04.0407,0.0193,0.0712,0.1567,1.6706,1.5818
2019-01-16,11,39,04.0767,0.0203,0.0716,0.1581,1.4036,1.6623
2019-01-16,11,39,04.1146,0.0219,0.0714,0.1604,1.5198,1.7826
2019-01-16,11,39,04.1516,0.0232,0.0715,0.1626,1.1771,1.7060
2019-01-16,11,39,04.1865,0.0248,0.0704,0.1647,1.1218,1.6628
2019-01-16,11,39,04.2269,0.0279,0.0694,0.1689,0.9738,1.5475
2019-01-16,11,39,04.2664,0.0312,0.0686,0.1722,1.1420,1.7653
2019-01-16,11,39,04.3048,0.0353,0.0670,0.1760,1.5015,1.9511
2019-01-16,11,39,04.3403,0.0394,0.0669,0.1810,0.8257,1.9299
2019-01-16,11,39,04.3812,0.0455,0.0655,0.1885,0.7755,1.8990
2019-01-16,11,39,04.4191,0.0498,0.0635,0.1946,1.3467,1.9968
2019-01-16,11,39,04.4556,0.0541,0.0618,0.2017,1.5094,2.2140
2019-01-16,11,39,04.4970,0.0596,0.0595,0.2126,2.0024,2.2908
2019-01-16,11,39,04.5340,0.0620,0.0607,0.2216,2.3050,2.1620
2019-01-16,11,39,04.5719,0.0639,0.0626,0.2314,2.2280,1.9177
2019-01-16,11,39,04.6083,0.0652,0.0628,0.2403,2.3051,1.7094
2019-01-16,11,39,04.6468,0.0673,0.0624,0.2542,2.7526,1.6677
2019-01-16,11,39,04.6812,0.0683,0.0626,0.2647,3.0074,1.6649
2019-01-16,11,39,04.7202,0.0689,0.0639,0.2763,3.2513,1.6020
2019-01-16,11,39,04.7571,0.0689,0.0656,0.2878,3.2020,1.4911
2019-01-16,11,39,04.7945,0.0688,0.0683,0.3065,2.7266,1.3180
2019-01-16,11,39,04.8300,0.0683,0.0684,0.3208,2.7191,1.1481
2019-01-16,11,39,04.8664,0.0676,0.0669,0.3366,2.9822,0.9833
2019-01-16,11,39,04.9054,0.0666,0.0654,0.3522,3.0672,0.8238
2019-01-16,11,39,04.9413,0.0650,0.0642,0.3689,2.9546,0.7112
2019-01-16,11,39,04.9753,0.0620,0.0619,0.3952,2.5632,0.4597
2019-01-16,11,39,05.0122,0.0590,0.0595,0.4162,2.2689,0.3677
2019-01-16,11,39,05.0496,0.0557,0.0567,0.4396,1.6413,0.6783
2019-01-16,11,39,05.0851,0.0530,0.0529,0.4616,1.6453,1.2030
2019-01-16,11,39,05.1215,0.0495,0.0527,0.4847,2.0704,1.4713
2019-01-16,11,39,05.1545,0.0470,0.0550,0.5076,2.3577,1.7654
2019-01-16,11,39,05.1939,0.0432,0.0581,0.5432,1.7744,2.0414
2019-01-16,11,39,05.2289,0.0415,0.0617,0.5700,359.9564,2.2973
2019-01-16,11,39,05.2678,0.0408,0.0629,0.5949,0.3153,2.5648
2019-01-16,11,39,05.3052,0.0404,0.0643,0.6185,1.3676,2.7092
2019-01-16,11,39,05.3412,0.0398,0.0676,0.6544,1.9407,2.7027
2019-01-16,11,39,05.3786,0.0398,0.0683,0.6794,2.5827,2.3948
2019-01-16,11,39,05.4166,0.0401,0.0691,0.7055,2.2258,2.2671
2019-01-16,11,39,05.4510,0.0407,0.0690,0.7289,1.9880,2.2686
2019-01-16,11,39,05.4894,0.0416,0.0678,0.7521,2.1201,2.2427
2019-01-16,11,39,05.5229,0.0427,0.0660,0.7756,2.2341,2.2174
2019-01-16,11,39,05.5578,0.0446,0.0623,0.8127,2.1824,2.1075
2019-01-16,11,39,05.5943,0.0460,0.0575,0.8389,2.0303,1.9850
2019-01-16,11,39,05.6292,0.0483,0.0517,0.8676,2.2836,1.8530
2019-01-16,11,39,05.6657,0.0509,0.0466,0.8939,2.4816,1.7764
2019-01-16,11,39,05.7021,0.0539,0.0422,0.9201,2.8319,1.8176
2019-01-16,11,39,05.7366,0.0568,0.0405,0.9468,2.4985,1.8754
2019-01-16,11,39,05.7725,0.0602,0.0400,0.9749,1.4387,1.9626
2019-01-16,11,39,05.8075,0.0650,0.0426,1.0170,2.1737,2.0866
2019-01-16,11,39,05.8454,0.0673,0.0441,1.0482,0.5148,2.0063
2019-01-16,11,39,05.8788,0.0696,0.0458,1.0774,0.8913,2.3199
2019-01-16,11,39,05.9153,0.0707,0.0496,1.1041,1.2233,2.3310
2019-01-16,11,39,05.9512,0.0712,0.0558,1.1313,0.3645,2.2181
2019-01-16,11,39,05.9972,0.0709,0.0619,1.1704,1.1990,1.8880
2019-01-16,11,39,06.0361,0.0703,0.0656,1.1975,1.1907,1.5844
2019-01-16,11,39,06.0735,0.0698,0.0683,1.2260,0.8232,1.2580
2019-01-16,11,39,06.1100,0.0688,0.0698,1.2665,0.5965,0.8443
2019-01-16,11,39,06.1469,0.0676,0.0674,1.2950,0.8503,0.6756
2019-01-16,11,39,06.1834,0.0659,0.0650,1.3227,1.2789,0.5676
2019-01-16,11,39,06.2188,0.0638,0.0627,1.3494,1.1354,0.4714
2019-01-16,11,39,06.2552,0.0615,0.0598,1.3759,1.2945,0.4506
2019-01-16,11,39,06.2922,0.0579,0.0553,1.4168,1.3446,0.2810
2019-01-16,11,39,06.3286,0.0545,0.0505,1.4481,0.8276,0.0079
2019-01-16,11,39,06.3661,0.0509,0.0471,1.4794,0.6657,359.7888
2019-01-16,11,39,06.4075,0.0469,0.0434,1.5098,0.1006,359.4626
2019-01-16,11,39,06.4479,0.0409,0.0401,1.5541,0.7045,359.3347
2019-01-16,11,39,06.4869,0.0365,0.0440,1.5853,1.5299,359.7657
2019-01-16,11,39,06.5253,0.0313,0.0517,1.6317,359.5054,0.1475
2019-01-16,11,39,06.5638,0.0295,0.0574,1.6627,359.5001,0.6593
2019-01-16,11,39,06.5982,0.0277,0.0612,1.6941,0.4775,0.7307
