sensor,date,hour,min,sec,x,y,z
Accel,2019/01/07,17,49,10.2320,9.595961,0.12449849,3.016694
Gyro,2019/01/07,17,49,10.2420,0.015219271,-0.074735,0.002565634
Accel,2019/01/07,17,49,10.2440,9.749189,0.1340753,2.432509
Gyro,2019/01/07,17,49,10.2460,0.00418879,-0.09985029,-0.0022514747
Accel,2019/01/07,17,49,10.2470,9.768343,0.11492168,2.72939
Gyro,2019/01/07,17,49,10.2490,-5.5850536E-4,-0.11245156,-0.0055326936
Accel,2019/01/07,17,49,10.2510,9.749189,0.1436521,2.882619
Gyro,2019/01/07,17,49,10.2520,-0.0056199604,-0.11623893,-0.008953539
Accel,2019/01/07,17,49,10.2530,9.557653,0.33518824,3.0933087
Gyro,2019/01/07,17,49,10.2550,-0.005305801,-0.11274827,-0.011222467
Accel,2019/01/07,17,49,10.2570,9.662998,0.10534488,2.882619
Gyro,2019/01/07,17,49,10.2580,-0.0035081117,-0.1070934,-0.012688544
Accel,2019/01/07,17,49,10.2600,9.461885,-0.05746084,2.432509
Gyro,2019/01/07,17,49,10.2630,-0.002565634,-0.10517354,-0.013107423
Accel,2019/01/07,17,49,10.2650,9.270349,-0.047884032,2.183512
Gyro,2019/01/07,17,49,10.2660,-0.0030543262,-0.10889109,-0.01303761
Accel,2019/01/07,17,49,10.2680,9.615114,-0.24899697,2.4037786
Gyro,2019/01/07,17,49,10.2720,-0.005253441,-0.113725655,-0.012322024
Accel,2019/01/07,17,49,10.2750,9.730036,-0.076614454,3.1124623
Gyro,2019/01/07,17,49,10.2770,-0.0013264503,-0.11098549,-0.009721484
Accel,2019/01/07,17,49,10.2780,9.672575,-0.16280572,3.1316159
Gyro,2019/01/07,17,49,10.2810,0.00715585,-0.10358529,-0.0055326936
Accel,2019/01/07,17,49,10.2839,9.442732,-0.1436521,2.7006595
Gyro,2019/01/07,17,49,10.2859,0.015393804,-0.10035643,-0.0016929694
Accel,2019/01/07,17,49,10.2870,9.490616,0.22026655,2.3463178
Gyro,2019/01/07,17,49,10.2890,0.017872171,-0.10576695,-2.9670598E-4
Accel,2019/01/07,17,49,10.2900,9.500193,-0.038307227,2.3080103
Gyro,2019/01/07,17,49,10.2920,0.014748032,-0.11072369,-1.7453292E-4
Accel,2019/01/07,17,49,10.2930,9.394848,0.22026655,2.4037786
Gyro,2019/01/07,17,49,10.2950,0.015882496,-0.108960904,0.0012740904
Accel,2019/01/07,17,49,10.2960,9.615114,0.7374141,2.2218192
Gyro,2019/01/07,17,49,10.2990,0.013596115,-0.10801843,1.5707963E-4
Accel,2019/01/07,17,49,10.3010,9.672575,0.6607997,2.336741
Gyro,2019/01/07,17,49,10.3030,0.014032447,-0.10625564,3.4906585E-5
Accel,2019/01/07,17,49,10.3040,9.9790325,0.60333884,3.217807
Gyro,2019/01/07,17,49,10.3060,0.023596851,-0.09904744,0.0020769418
Accel,2019/01/07,17,49,10.3070,9.797073,0.641646,2.432509
Gyro,2019/01/07,17,49,10.3090,0.038048178,-0.098000236,0.0011693706
Accel,2019/01/07,17,49,10.3100,9.643845,0.7374141,2.1930888
Gyro,2019/01/07,17,49,10.3120,0.04818854,-0.09885545,-0.0069987704
Accel,2019/01/07,17,49,10.3140,9.653421,0.4213795,2.6431987
Gyro,2019/01/07,17,49,10.3150,0.050701816,-0.100391336,-0.018099064
Accel,2019/01/07,17,49,10.3160,9.576807,0.20111294,2.3080103
Gyro,2019/01/07,17,49,10.3180,0.062133722,-0.103777274,-0.023247786
Accel,2019/01/07,17,49,10.3200,9.414001,0.21068975,2.3942018
Gyro,2019/01/07,17,49,10.3210,0.080721475,-0.10684906,-0.022706734
Accel,2019/01/07,17,49,10.3220,9.720459,0.22984336,2.6623523
Gyro,2019/01/07,17,49,10.3240,0.096516706,-0.10798352,-0.021118484
Accel,2019/01/07,17,49,10.3250,9.615114,0.45010993,2.1452048
Gyro,2019/01/07,17,49,10.3260,0.103916906,-0.11400491,-0.022985986
Accel,2019/01/07,17,49,10.3280,9.816227,0.35434186,2.5187001
Gyro,2019/01/07,17,49,10.3290,0.105260804,-0.11307988,-0.025115287
Accel,2019/01/07,17,49,10.3330,9.998186,0.35434186,2.681506
Gyro,2019/01/07,17,49,10.3340,0.104248516,-0.100949846,-0.020245818
Accel,2019/01/07,17,49,10.3360,9.586384,0.63206923,2.135628
Gyro,2019/01/07,17,49,10.3390,0.10950196,-0.089867,-0.0145735
Accel,2019/01/07,17,49,10.3400,9.624691,0.50757074,1.9919758
Gyro,2019/01/07,17,49,10.3430,0.11472049,-0.08585274,-0.010367256
Accel,2019/01/07,17,49,10.3449,9.509769,0.4309563,1.9249382
Gyro,2019/01/07,17,49,10.3469,0.11807153,-0.08876745,-0.00816814
Accel,2019/01/07,17,49,10.3479,9.892841,0.21068975,2.566584
Gyro,2019/01/07,17,49,10.3489,0.117024325,-0.09079203,-0.0077667153
Accel,2019/01/07,17,49,10.3510,9.749189,0.41180268,2.3175871
Gyro,2019/01/07,17,49,10.3520,0.11267845,-0.09391617,-0.010332349
Accel,2019/01/07,17,49,10.3540,9.586384,0.51714754,1.8387469
Gyro,2019/01/07,17,49,10.3550,0.104911745,-0.09920452,-0.014189526
Accel,2019/01/07,17,49,10.3570,9.548077,0.48841715,1.7621324
Gyro,2019/01/07,17,49,10.3590,0.10766936,-0.10189232,-0.015114551
Accel,2019/01/07,17,49,10.3600,9.672575,0.33518824,2.2409728
Gyro,2019/01/07,17,49,10.3610,0.0,0.0,0.0
Accel,2019/01/07,17,49,10.3620,9.739613,0.25857377,2.2697031
Gyro,2019/01/07,17,49,10.3640,-0.104684845,-8.726646E-5,-6.6322513E-4
Accel,2019/01/07,17,49,10.3650,9.710882,0.30645782,2.135628
Gyro,2019/01/07,17,49,10.3670,-0.17088519,-0.022340214,-0.014643312
Accel,2019/01/07,17,49,10.3680,9.682152,0.38307226,1.9153614
Gyro,2019/01/07,17,49,10.3700,-0.29544935,-0.0707382,-0.046094146
Accel,2019/01/07,17,49,10.3710,9.653421,0.45010993,1.7142484
Gyro,2019/01/07,17,49,10.3730,-0.4672072,-0.17144369,-0.08925614
Accel,2019/01/07,17,49,10.3740,9.691729,0.34476504,1.8004397
Gyro,2019/01/07,17,49,10.3760,-0.4887271,-0.20512855,-0.10515609
Accel,2019/01/07,17,49,10.3780,9.758766,0.24899697,2.0111294
Gyro,2019/01/07,17,49,10.3800,-0.42943826,-0.19687314,-0.096935585
Accel,2019/01/07,17,49,10.3820,9.758766,0.23942018,2.1068976
Gyro,2019/01/07,17,49,10.3840,-0.37257543,-0.17367771,-0.08386307
Accel,2019/01/07,17,49,10.3860,9.682152,0.32561144,2.0685902
Gyro,2019/01/07,17,49,10.3870,-0.34471998,-0.15419984,-0.077248275
Accel,2019/01/07,17,49,10.3890,9.749189,0.35434186,2.2218192
Gyro,2019/01/07,17,49,10.3910,-0.31581733,-0.13498376,-0.07119198
Accel,2019/01/07,17,49,10.3920,9.768343,0.4213795,2.2218192
Gyro,2019/01/07,17,49,10.3940,-0.29002136,-0.12021828,-0.06717772
Accel,2019/01/07,17,49,10.3960,9.662998,0.6607997,2.1643584
Gyro,2019/01/07,17,49,10.3970,-0.25769785,-0.0988729,-0.06747443
Accel,2019/01/07,17,49,10.4000,9.615114,0.7374141,2.087744
Gyro,2019/01/07,17,49,10.4020,-0.22485077,-0.076096356,-0.074141584
Accel,2019/01/07,17,49,10.4040,9.634268,0.7182605,1.8387469
