date,hour,minute,sec,milli_sec,accel_dt[ms],gyro_dt[ms],delta_sec[s],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y
2019-01-16,11,39,3,807.6,2.4,4.4,0.0,10.1226845,-0.20111294,0.7374141,0.015323991,0.15617207,-0.16355479999999997,0.0113,0.0717,0.1379,1.2833,2.3252
2019-01-16,11,39,3,848.0,1.0,3.0,0.0404,10.036493,0.13407529999999998,1.5035586,0.05935865,0.1783901,-0.17423622,0.0146,0.0715,0.1453,1.4614,2.3537
2019-01-16,11,39,3,883.5,5.5,7.5,0.035501,9.758766,0.047884032,1.8866308999999997,0.19627973,0.29464647,-0.16292648,0.0159,0.0719,0.1487,1.3719,2.2225
2019-01-16,11,39,3,923.9,7.1,9.1,0.0404,9.797073,-0.20111294,1.7142484,0.29880038,0.34290484,-0.14041173,0.0167,0.0726,0.1515,1.0766,1.9455
2019-01-16,11,39,3,963.3,5.7,7.7,0.039399,9.040505,-0.31603462,0.7757214,0.31628856,0.3302163,-0.10246828,0.0177,0.0727,0.1545,1.0235,1.6093
2019-01-16,11,39,4,1.3,7.7,0.7,0.038,8.963891,-0.35434186,1.0055646999999999,0.263248,0.29696777,-0.09103637,0.0184,0.0716,0.1555,1.4952,1.5162
2019-01-16,11,39,4,40.7,9.3,0.3,0.039401,9.050082000000002,-0.5363011999999999,0.4405331,0.22937118,0.24747023,-0.06684611,0.0193,0.0712,0.1567,1.6706,1.5818
2019-01-16,11,39,4,76.7,5.3,7.3,0.035999,9.011775,-0.40222588,0.076614454,0.15165167,0.135455,-0.023404865,0.0203,0.0716,0.1581,1.4036,1.6623
2019-01-16,11,39,4,114.6,4.4,6.4,0.037901,9.203311,-0.17238252,0.22026655,-0.11079349999999999,-0.17688912,0.026860617000000003,0.0219,0.0714,0.1604,1.5198,1.7826
2019-01-16,11,39,4,151.6,7.4,0.4,0.037,9.682152,-0.095768064,0.34476504,-0.14517649,-0.20252799999999999,0.034260813,0.0232,0.0715,0.1626,1.1771,1.706
2019-01-16,11,39,4,186.5,2.5,4.5,0.034899,9.595961,-0.21068975,0.05746084,-0.23792328,-0.27003735,0.032044247000000005,0.0248,0.0704,0.1647,1.1218,1.6628
2019-01-16,11,39,4,226.9,2.1,4.1,0.0404,10.0748005,-0.12449849,0.8523358,-0.30462977,-0.34241614,0.02417281,0.0279,0.0694,0.1689,0.9738,1.5475
2019-01-16,11,39,4,266.4,3.6,5.6,0.0395,9.873688000000001,-0.21068975,-0.80445176,-0.36561158,-0.41763982,0.013369222,0.0312,0.0686,0.1722,1.142,1.7653
2019-01-16,11,39,4,304.8,4.2,6.2,0.038401,10.601525,0.047884032,0.9959879,-0.28281316,-0.36367425,0.003944444,0.0353,0.067,0.176,1.5015,1.9511
2019-01-16,11,39,4,340.3,8.6,0.7,0.0355,11.224017,-0.7086836999999999,0.49799395,-0.17502162,-0.25635397,-0.009704031,0.0394,0.0669,0.181,0.8257,1.9299
2019-01-16,11,39,4,381.2,8.8,10.8,0.040899,12.296619999999999,0.009576807,-1.1587936,-0.108873636,-0.22383848,-0.020961404,0.0455,0.0655,0.1885,0.7755,1.899
2019-01-16,11,39,4,419.1,2.9,3.9,0.037901,11.358092999999998,-0.6512229,1.8195933000000002,-0.10636036,-0.21142918,-0.02846632,0.0498,0.0635,0.1946,1.3467,1.9968
2019-01-16,11,39,4,455.6,4.4,6.4,0.036499,9.864111,-0.7182605,1.2737153,0.010454521999999999,-0.076689765,-0.012566371000000002,0.0541,0.0618,0.2017,1.5094,2.214
2019-01-16,11,39,4,497.0,2.0,4.0,0.0414,9.873688000000001,-0.41180268,1.7525556,0.29644418,0.15887733,0.06260496,0.0596,0.0595,0.2126,2.0024,2.2908
2019-01-16,11,39,4,534.0,6.0,7.0,0.037,9.442732000000001,-0.5554548,2.1930888,0.43785074,0.29061478,0.11213741,0.062,0.0607,0.2216,2.305,2.162
2019-01-16,11,39,4,571.9,8.1,9.1,0.037901,8.552089,-0.41180268,1.2066777,0.42739624,0.33250266,0.121789075,0.0639,0.0626,0.2314,2.228,1.9177
2019-01-16,11,39,4,608.3,1.7,3.7,0.036399,8.6095495,-0.15322891,0.5554548,0.4208687,0.3601487,0.115872405,0.0652,0.0628,0.2403,2.3051,1.7094
2019-01-16,11,39,4,646.8,2.2,4.2,0.0385,9.528922999999999,0.05746084,0.29688102,0.26808256,0.25506239999999997,0.090844385,0.0673,0.0624,0.2542,2.7526,1.6677
2019-01-16,11,39,4,681.2,7.7,12.7,0.0344,9.481038999999999,-0.2873042,0.90979666,0.14058627,0.18966493,0.059184115,0.0683,0.0626,0.2647,3.0074,1.6649
2019-01-16,11,39,4,720.2,9.8,0.8,0.039001,9.203311,-0.39264908,0.30645782,0.09819222,0.19720475,0.041643556,0.0689,0.0639,0.2763,3.2513,1.602
2019-01-16,11,39,4,757.1,4.9,5.9,0.0369,9.069236,-0.19153613,0.35434186,0.017627826,0.16694075,0.011623893,0.0689,0.0656,0.2878,3.202,1.4911
2019-01-16,11,39,4,794.5,4.5,6.5,0.0374,9.203311,-0.4405331,0.8331822,-0.15439183,0.05555383,-0.06618288,0.0688,0.0683,0.3065,2.7266,1.318
2019-01-16,11,39,4,830.0,9.0,1.0,0.0355,9.576807,-0.545878,0.7086836999999999,-0.29962066,-0.078906335,-0.07517133,0.0683,0.0684,0.3208,2.7191,1.1481
2019-01-16,11,39,4,866.4,3.6,4.6,0.036399,9.519346,-0.33518824,0.047884032,-0.49122292,-0.26171213,-0.07089528,0.0676,0.0669,0.3366,2.9822,0.9833
2019-01-16,11,39,4,905.4,3.6,5.6,0.039001,10.160992,-0.20111294,-0.24899697,-0.56744146,-0.3356268,-0.06665412,0.0666,0.0654,0.3522,3.0672,0.8238
2019-01-16,11,39,4,941.3,8.7,10.7,0.0359,10.955867,-0.35434186,0.1436521,-0.49090877,-0.2837731,-0.06482153,0.065,0.0642,0.3689,2.9546,0.7112
2019-01-16,11,39,4,975.3,3.7,7.7,0.033999,11.587936000000001,-0.45968673,-0.1436521,-0.4212352,-0.22403046,-0.05438446,0.062,0.0619,0.3952,2.5632,0.4597
2019-01-16,11,39,5,12.2,7.8,8.8,0.0369,11.903971,0.02873042,3.3039982000000006,-0.34482470000000004,-0.15475835,-0.045012042,0.059,0.0595,0.4162,2.2689,0.3677
2019-01-16,11,39,5,49.6,1.3,2.4,0.0374,10.524911,-0.6512229,2.7868507,-0.1752136,0.016406095,-0.03806563,0.0557,0.0567,0.4396,1.6413,0.6783
2019-01-16,11,39,5,85.1,3.9,5.9,0.0355,9.931149000000001,-0.81402856,0.51714754,0.09208357,0.22516492,-0.00424115,0.053,0.0529,0.4616,1.6453,1.203
2019-01-16,11,39,5,121.5,7.5,0.5,0.036401,10.515334,-0.2777274,2.1452047999999997,0.12452924,0.17650515,0.037873644,0.0495,0.0527,0.4847,2.0704,1.4713
2019-01-16,11,39,5,154.5,5.5,6.5,0.032999,10.486604,-0.15322891,1.8579005000000002,0.15964526,0.19519763,0.021886429,0.047,0.055,0.5076,2.3577,1.7654
2019-01-16,11,39,5,193.9,5.1,7.1,0.039401,10.218452000000001,-0.16280572,1.0342950999999998,0.25684264,0.24740042,0.014032447,0.0432,0.0581,0.5432,1.7744,2.0414
2019-01-16,11,39,5,228.9,0.1,2.1,0.035,9.998186,-0.49799395,1.3982137,0.29326767,0.27679175,0.0095294975,0.0415,0.0617,0.57,359.9564,2.2973
2019-01-16,11,39,5,267.8,4.2,5.2,0.0389,9.002198,-0.51714754,1.3120226000000001,0.37257543,0.33229324,0.036913715,0.0408,0.0629,0.5949,0.3153,2.5648
2019-01-16,11,39,5,305.2,3.8,5.8,0.0374,8.475474,-0.37349546,0.9672575000000001,0.41776199999999997,0.3455054,0.067456976,0.0404,0.0643,0.6185,1.3676,2.7092
2019-01-16,11,39,5,341.2,7.7,0.8,0.035999,8.494628,-0.095768064,0.6512229,0.40716785,0.29305825,0.097843155,0.0398,0.0676,0.6544,1.9407,2.7027
2019-01-16,11,39,5,378.6,0.4,2.4,0.0374,8.6095495,0.1436521,0.5554548,0.11534881,0.021485003,0.055169857999999995,0.0398,0.0683,0.6794,2.5827,2.3948
2019-01-16,11,39,5,416.6,3.4,4.4,0.038,8.935161,-0.06703765,1.13964,-0.05127777,-0.08110545,-0.021554817,0.0401,0.0691,0.7055,2.2258,2.2671
2019-01-16,11,39,5,451.0,9.0,11.0,0.0344,9.212888000000001,-0.02873042,0.78529817,-0.098419115,-0.052080624000000006,-0.108926,0.0407,0.069,0.7289,1.988,2.2686
2019-01-16,11,39,5,489.4,9.6,3.6,0.0384,10.113108,-0.02873042,0.22026655,-0.20804325,-0.12777555,-0.11484266,0.0416,0.0678,0.7521,2.1201,2.2427
2019-01-16,11,39,5,522.9,7.1,9.1,0.0335,10.505757000000001,-0.22026655,0.8331822,-0.32107076,-0.21858503,-0.10232865,0.0427,0.066,0.7756,2.2341,2.2174
2019-01-16,11,39,5,557.8,2.2,4.2,0.034901,9.959878999999999,-0.79487497,0.89064306,-0.27295205,-0.21097539999999998,-0.08059931,0.0446,0.0623,0.8127,2.1824,2.1075
2019-01-16,11,39,5,594.3,4.7,6.7,0.036499,10.055647,-0.6991069000000001,0.7278373,-0.23795820000000004,-0.20254546,-0.05469862,0.046,0.0575,0.8389,2.0303,1.985
2019-01-16,11,39,5,629.2,0.8,2.8,0.034901,10.668563,-0.019153614,0.6991069000000001,-0.23101178,-0.1953547,-0.038589227999999996,0.0483,0.0517,0.8676,2.2836,1.853
2019-01-16,11,39,5,665.7,3.3,5.3,0.0365,11.003751,-0.29688102,0.45968673,-0.19921188,-0.15392059,-0.03913028,0.0509,0.0466,0.8939,2.4816,1.7764
2019-01-16,11,39,5,702.1,6.9,8.9,0.036399,11.789049,-0.35434186,1.1875241,-0.15919147,-0.13638003,-0.03031637,0.0539,0.0422,0.9201,2.8319,1.8176
2019-01-16,11,39,5,736.6,2.4,4.4,0.034501,10.333375,-1.5227122,1.685518,-0.034592427,-0.10871656,0.03551745,0.0568,0.0405,0.9468,2.4985,1.8754
2019-01-16,11,39,5,772.5,6.5,10.5,0.0359,9.998186,-0.6991069000000001,0.41180268,0.12157963,-0.067125365,0.20786871,0.0602,0.04,0.9749,1.4387,1.9626
2019-01-16,11,39,5,807.5,1.5,3.5,0.035,10.199299,-0.26815059999999996,1.1300632,0.20457004,-0.017732546000000002,0.20575686,0.065,0.0426,1.017,2.1737,2.0866
2019-01-16,11,39,5,845.4,3.6,6.6,0.037899,9.461885,-0.9672575000000001,2.27928,0.35217252,0.12185889,0.19959585,0.0673,0.0441,1.0482,0.5148,2.0063
