dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y
0.0714,0.0669,-0.005,-0.0488,0.0117,0.0338,3.743,350.059,48.4623,-0.05,0.0689,0.1112,5.1844,356.3914
0.1216,0.1296,0.008,0.0254,-0.0243,-0.0109,3.7421,350.1064,47.0004,-0.0491,0.0677,0.1127,5.598,356.2842
0.1863,0.1973,0.011,-0.0057,0.0402,-0.0149,3.6321,350.4949,46.3471,-0.0553,0.0755,0.1152,3.5284,356.4322
0.2612,0.249,-0.012,0.0538,0.0268,0.0124,3.7489,350.8568,45.7973,-0.0549,0.0745,0.1184,3.5424,356.849
0.3316,0.3163,-0.015,-0.0058,-0.0167,0.0685,3.7152,351.3958,45.0563,-0.0544,0.0737,0.1225,3.8422,356.755
0.4067,0.4353,0.029,0.001,0.2306,0.029,3.8852,351.8108,46.2459,-0.0577,0.0732,0.1236,3.6735,357.5853
0.4767,0.4866,0.01,0.0692,0.0134,-0.0315,4.0414,352.5485,45.6409,-0.0592,0.0735,0.127,3.7811,357.6187
0.5463,0.5373,-0.009,-0.0047,-0.0695,0.0403,4.3002,352.8792,45.7616,-0.0598,0.074,0.1301,3.7197,358.0676
0.6167,0.5883,-0.028,-0.0964,-0.013,0.0369,4.4792,352.7393,47.7415,-0.0592,0.0765,0.1354,4.1683,357.9635
0.6865,0.7072,0.021,-0.0224,0.011,0.027,4.8034,352.9329,49.8221,-0.0588,0.0755,0.1399,4.3832,358.3662
0.7464,0.7575,0.011,-0.0055,0.0153,-0.0101,4.7909,352.8558,50.8174,-0.0593,0.0755,0.145,3.6153,358.9249
0.8266,0.8085,-0.018,0.0084,-0.0119,0.0152,5.0411,352.6318,52.1728,-0.0567,0.0735,0.1516,4.7935,359.1816
0.8967,0.9104,0.014,-0.0238,-0.0506,0.0237,5.2257,352.6774,52.5637,-0.0522,0.0722,0.1601,4.6684,359.2126
0.9665,0.9613,-0.005,-0.0242,0.0308,0.001,5.3003,352.5464,53.1675,-0.0424,0.072,0.1734,4.6755,359.8398
1.0413,1.0648,0.024,-0.0045,-0.0547,0.0088,5.0543,352.3513,54.0084,-0.0319,0.0722,0.1854,4.8035,0.126
1.1065,1.1151,0.009,-0.0272,-0.0061,0.0075,5.1805,352.2897,54.0172,-0.0144,0.0706,0.2062,4.5621,0.4324
1.1664,1.1665,0.0,-0.0273,0.0191,0.0246,5.2329,351.8633,54.9553,0.0065,0.0678,0.2272,5.3945,0.12
1.2268,1.2174,-0.009,-0.0611,0.013,0.0381,5.2716,351.735,55.3505,0.0254,0.0685,0.2411,5.6589,359.851
1.2868,1.268,-0.019,-0.0649,0.0163,0.0418,5.4909,351.3148,56.6426,0.0511,0.07,0.2585,5.5439,359.9012
1.3467,1.3707,0.024,-0.0484,-0.0262,0.0636,5.8687,350.8383,58.7787,0.0743,0.0707,0.2726,5.2118,359.5426
1.4023,1.3707,-0.032,-0.0484,-0.0262,0.0636,5.8687,350.8383,58.7787,0.1077,0.0708,0.2921,5.0008,358.5677
1.4665,1.4904,0.024,-0.0599,0.026,-0.0271,6.258,350.3372,61.3151,0.1367,0.0699,0.3091,4.5493,357.933
1.5165,1.4904,-0.026,-0.0599,0.026,-0.0271,6.258,350.3372,61.3151,0.1718,0.0708,0.3335,4.1953,358.1572
1.5765,1.5574,-0.019,-0.0827,0.0445,-0.0306,5.9633,350.1873,62.4969,0.199,0.0734,0.3533,3.423,357.9543
1.6364,1.6591,0.023,-0.0379,-0.0287,-0.0235,5.5671,350.1396,64.6126,0.2244,0.0788,0.369,4.0635,356.5252
1.6866,1.71,0.023,-0.0396,-0.0325,-0.0124,5.4608,350.2143,65.6592,0.2579,0.0834,0.392,3.1618,355.7058
1.7464,1.7608,0.014,0.0244,-0.0098,0.0456,5.5009,350.3533,65.986,0.2795,0.0839,0.4103,2.3204,355.6263
1.7965,1.8121,0.016,0.0416,0.027,0.0468,5.8684,350.8075,65.8204,0.2988,0.0833,0.4276,2.5168,355.8709
1.8466,1.8632,0.017,-0.0422,0.069,-0.0062,5.7558,351.0062,65.9761,0.3186,0.0839,0.4454,2.9495,357.0677
1.8963,1.9145,0.018,0.0365,0.0852,-0.0776,4.9578,351.6914,65.3159,0.3373,0.0825,0.466,2.7478,358.6541
1.9516,1.9656,0.014,0.0537,-0.0537,0.0044,4.7696,352.1303,64.6415,0.3555,0.0791,0.4891,2.6561,359.8024
2.0026,2.0163,0.014,0.0757,-0.0398,0.0242,5.3543,352.6534,63.8129,0.3741,0.0757,0.5138,3.4213,1.35
2.0563,2.068,0.012,0.0554,-0.0778,0.0587,6.289,353.0491,63.2606,0.3998,0.074,0.5477,4.2764,3.0439
2.1167,2.1355,0.019,-0.0147,-0.0239,0.0868,7.2858,353.191,63.2361,0.4262,0.0764,0.587,3.3483,4.1137
2.1715,2.1869,0.015,0.0108,-0.0433,0.0871,8.146,353.1225,63.3822,0.4416,0.0751,0.618,3.1604,3.9068
2.2266,2.2374,0.011,0.046,-0.0862,0.0836,8.6762,353.2131,63.0794,0.4557,0.0717,0.6517,2.6347,3.6909
2.2766,2.288,0.011,0.0367,-0.0381,0.0887,9.0684,353.1996,63.2058,0.4686,0.0678,0.6869,3.071,3.655
2.3314,2.3385,0.007,0.0395,0.1152,-0.0065,9.0512,353.2912,63.2538,0.4813,0.0674,0.7251,2.662,3.0152
2.3766,2.3907,0.014,0.0555,0.0707,0.009,9.5303,353.5869,63.0142,0.4954,0.0711,0.7603,4.588,2.942
2.4315,2.4408,0.009,0.0982,-0.0297,0.0518,10.2176,353.6079,63.4079,0.5107,0.0797,0.7955,1.9113,3.0189
2.4867,2.4921,0.005,0.1114,-0.0707,0.0749,10.9256,353.7816,63.7134,0.5234,0.083,0.8299,2.142,3.7195
2.5366,2.5439,0.007,0.0416,-0.0284,0.0918,11.362,353.8005,64.1358,0.5406,0.0906,0.8709,3.3672,4.1433
2.5866,2.595,0.008,0.0125,0.0555,0.0805,11.437,353.8365,64.6728,0.5515,0.0974,0.9033,2.4285,3.5807
2.6364,2.6456,0.009,0.0014,0.0238,0.0209,11.6102,353.935,64.8617,0.5592,0.0985,0.9352,2.6306,3.4261
2.6866,2.6969,0.01,-0.0904,0.222,-0.0866,10.1889,354.1723,65.2652,0.5648,0.0954,0.9684,2.8597,2.7865
2.7466,2.7482,0.002,-0.0061,-0.0882,0.0258,9.5212,354.1953,66.022,0.5701,0.0932,1.0021,3.1547,2.2729
2.8065,2.816,0.009,-0.0179,0.1497,-0.1244,8.5035,354.2711,66.2428,0.5773,0.0904,1.0493,2.4573,1.7218
2.8566,2.8674,0.011,0.0533,0.0005,-0.0471,8.1599,354.3293,65.9587,0.5823,0.0866,1.0871,2.0588,1.246
2.9166,2.9349,0.018,0.1037,-0.1534,0.0172,8.1829,354.3925,65.5783,0.586,0.084,1.1246,1.9164,0.7024
2.9666,2.986,0.019,0.0622,-0.0872,0.0291,8.0298,354.3696,65.6489,0.5891,0.0832,1.1617,1.2103,0.6883
3.0214,3.0371,0.016,0.0365,-0.0226,0.0187,7.5446,354.3524,66.0355,0.5843,0.0882,1.2074,1.2979,358.9113
3.0766,3.0882,0.012,0.0094,-0.0137,0.0383,7.3122,354.4091,66.2707,0.5778,0.0966,1.237,1.9629,358.6134
3.1267,3.1382,0.011,0.045,-0.0562,0.0502,7.2395,354.4664,66.3707,0.571,0.1027,1.2628,1.7722,359.357
3.1817,3.1895,0.008,0.0473,0.0208,0.0115,8.4069,354.8411,65.7272,0.5611,0.1021,1.2903,1.6368,359.4855
3.2468,3.2397,-0.007,0.0638,0.0185,0.0172,8.7164,355.094,65.4399,0.5435,0.0987,1.3259,1.6228,358.8862
3.2967,3.2911,-0.006,0.1597,0.2329,-0.0862,8.7012,356.0684,63.3904,0.5263,0.0945,1.3505,2.5372,358.7781
3.3465,3.3422,-0.004,0.1471,0.003,-0.0744,9.0886,356.6443,62.3114,0.5049,0.0911,1.3764,2.001,358.7234
3.4044,3.3938,-0.011,0.0268,0.025,-0.0464,9.0724,357.0404,62.1017,0.4715,0.0841,1.4123,2.223,359.2728
3.4667,3.4446,-0.022,0.0493,-0.1306,0.0186,8.7908,357.0555,62.7572,0.4293,0.0781,1.4539,1.5597,359.4438
3.5167,3.4958,-0.021,0.0968,-0.1067,-0.0374,8.6814,357.4454,62.4419,0.3995,0.0748,1.481,2.4456,0.1812
3.5865,3.6149,0.028,0.136,-0.0137,0.0096,8.6801,358.9559,58.4491,0.3619,0.0727,1.5164,3.3487,1.5875
3.6465,3.6659,0.019,0.1098,-0.0564,0.0631,8.8494,359.2657,57.4534,0.3248,0.0805,1.5487,4.676,3.0129
3.7017,3.716,0.014,0.0893,0.0516,0.059,9.5565,359.4433,56.8432,0.3018,0.0866,1.5768,2.7615,3.7923
3.7565,3.7677,0.011,0.0243,0.0098,0.0276,9.8244,359.2137,57.394,0.2813,0.091,1.6019,3.7808,3.9072
3.8068,3.8179,0.011,-0.0185,0.073,-0.0039,10.095,358.6464,58.9663,0.2598,0.096,1.6262,3.8615,2.9753
3.8667,3.8694,0.003,0.0121,-0.0064,0.055,10.3336,357.9311,60.5678,0.2333,0.0961,1.6617,3.2142,2.5661
3.9417,3.9201,-0.022,-0.0174,0.2089,-0.0309,10.3191,357.9606,60.0048,0.2124,0.0942,1.698,4.0272,1.3493
4.007,4.022,0.015,-0.0934,-0.022,-0.0328,9.3453,357.0493,62.3951,0.1946,0.0915,1.7382,3.6355,0.8551
4.0568,4.0738,0.017,-0.0038,0.0188,-0.0665,8.57,356.4523,64.402,0.1835,0.0892,1.7706,2.7495,0.8838
4.1268,4.125,-0.002,0.0011,-0.126,-0.0087,8.381,356.1032,65.5045,0.1707,0.0838,1.8166,1.4354,0.7048
4.1767,4.176,-0.001,-0.087,-0.0898,0.0077,7.9023,355.496,67.3916,0.1628,0.0804,1.8519,0.885,0.3056
4.2416,4.228,-0.014,-0.1034,-0.0319,0.0276,7.3979,354.668,69.832,0.1548,0.0803,1.8968,1.3482,0.3719
4.2966,4.2951,-0.002,-0.0994,0.0096,0.0464,7.4763,354.0445,71.6383,0.1537,0.0845,1.9267,1.1684,0.0818
4.3465,4.3476,0.001,-0.0732,-0.0224,0.0672,7.6589,353.6443,72.8101,0.1515,0.091,1.9528,1.7389,0.2473
4.4066,4.4137,0.007,-0.0224,-0.0594,0.0485,8.3286,352.9123,74.9333,0.1522,0.098,1.988,1.2133,1.479
4.4564,4.4651,0.009,-0.0151,0.0137,0.073,8.8588,352.768,75.2473,0.1556,0.0996,2.0165,0.8582,1.9777
4.5117,4.516,0.004,-0.0968,0.1483,-0.0091,9.0679,352.9777,74.4296,0.1607,0.0965,2.0441,1.7131,2.2321
4.5665,4.5674,0.001,-0.1115,0.1054,-0.0603,9.1926,352.5491,75.5129,0.1679,0.0964,2.0697,2.0929,2.0386
4.6168,4.6351,0.018,-0.0211,0.0397,-0.0319,8.7757,352.423,75.6097,0.1779,0.0953,2.0972,1.5205,2.6446
4.6665,4.6864,0.02,-0.0541,-0.0449,-0.0185,8.48,352.5211,75.0979,0.1948,0.0929,2.1352,2.2348,3.1464
4.7165,4.7373,0.021,-0.0716,-0.1254,0.0138,8.3759,352.5642,74.8195,0.2114,0.0901,2.1711,0.7395,3.9674
4.7717,4.788,0.016,-0.0464,-0.1412,0.0372,8.4558,352.6003,74.6912,0.2283,0.0876,2.2061,0.307,4.3827
4.8268,4.8382,0.011,-0.0117,0.0405,-0.0183,8.1491,352.8513,73.9338,0.2439,0.0901,2.2365,2.0617,4.2847
4.8918,4.8893,-0.002,-0.0708,-0.0755,0.0569,7.9966,352.8796,74.0005,0.2675,0.1013,2.2744,0.4003,4.1672
4.9367,4.9402,0.003,-0.1038,-0.0018,0.0714,8.1107,352.5742,75.0217,0.2871,0.1015,2.3064,359.0005,5.0069
4.9967,4.992,-0.005,-0.0894,0.0037,0.094,8.4064,352.1243,76.2221,0.3072,0.1018,2.3324,2.308,4.2547
5.0465,5.0432,-0.003,-0.022,0.0103,0.0671,9.0403,352.1914,75.6761,0.3261,0.1041,2.3575,2.6057,3.6628
5.0967,5.0942,-0.003,0.0335,0.077,0.0199,10.0001,352.2938,75.1023,0.3451,0.1055,2.3849,1.8893,3.8529
5.1466,5.1451,-0.002,-0.0727,0.3101,-0.0871,9.8984,352.3908,74.9799,0.3644,0.1042,2.4136,1.3071,3.7058
5.1966,5.1963,-0.0,-0.0328,-0.176,0.0745,9.9115,352.1338,75.9524,0.386,0.1018,2.4436,1.0014,3.6996
5.2667,5.2476,-0.019,-0.0348,-0.146,-0.0359,10.1696,352.1623,75.5946,0.4236,0.0942,2.4959,0.9345,2.8037
