dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y
0.0673,0.226,0.159,0.079,0.0283,-0.0002,10.2807,356.3447,53.5979,-0.0376,-0.0546,-0.0108,4.5681,357.7722
0.1362,0.226,0.09,0.079,0.0283,-0.0002,10.2807,356.3447,53.5979,-0.0439,-0.0562,-0.0095,4.8426,357.6766
0.2061,0.226,0.02,0.079,0.0283,-0.0002,10.2807,356.3447,53.5979,-0.0473,-0.056,-0.0061,4.2097,357.1192
0.276,0.3085,0.032,0.0424,0.0296,0.0022,10.2671,357.3601,53.7563,-0.0479,-0.0576,-0.0065,4.7002,357.5853
0.3259,0.3085,-0.017,0.0424,0.0296,0.0022,10.2671,357.3601,53.7563,-0.0479,-0.0582,-0.0069,4.8416,357.6579
0.3769,0.3595,-0.017,-0.0578,-0.0153,-0.0288,9.7711,357.2837,53.8006,-0.0473,-0.0574,-0.0074,4.9568,357.2228
0.4487,0.4609,0.012,-0.0358,-0.0127,-0.009,8.7156,356.7645,53.9409,-0.0429,-0.0538,-0.0094,4.8657,356.8539
0.5246,0.5119,-0.013,-0.0697,-0.0199,-0.0344,7.8505,356.2547,53.9413,-0.0362,-0.0537,-0.0121,5.4281,356.9131
0.5755,0.5628,-0.013,-0.0024,0.0062,0.0003,7.5158,355.9821,53.9241,-0.0279,-0.053,-0.0144,5.004,356.9715
0.628,0.6137,-0.014,-0.0948,-0.0292,-0.0228,6.64,355.1485,53.9039,-0.0181,-0.051,-0.0164,4.594,356.1186
0.6864,0.6648,-0.022,-0.0594,0.0246,-0.026,6.2843,354.9077,53.8449,-0.008,-0.0489,-0.0186,3.5634,355.3516
0.7593,0.7679,0.009,-0.0537,0.063,-0.0424,4.6176,354.1454,53.6634,0.0127,-0.0468,-0.0239,2.9401,354.4946
0.8336,0.819,-0.015,-0.0741,0.0151,-0.0565,4.0558,353.8517,53.6418,0.048,-0.046,-0.0327,2.765,352.6984
0.9065,0.9377,0.031,-0.101,0.021,-0.0432,3.0174,353.0587,53.5491,0.0863,-0.046,-0.0422,2.311,351.2991
0.9829,0.9885,0.006,-0.093,0.0518,-0.0529,2.4475,352.9353,53.6039,0.1208,-0.0466,-0.0498,2.0718,350.3132
1.0573,1.0393,-0.018,-0.0594,0.0371,-0.0372,2.2992,352.7966,53.6563,0.1715,-0.0454,-0.0632,1.7224,350.1467
1.1097,1.09,-0.02,-0.0422,0.0213,-0.0582,1.9634,352.8648,53.7449,0.2048,-0.0446,-0.0722,1.5012,348.879
1.1831,1.1919,0.009,-0.0878,-0.0252,-0.0394,1.6609,352.7466,53.9494,0.2546,-0.04,-0.0815,1.9648,346.8207
1.2565,1.2431,-0.013,-0.0592,-0.0176,-0.0168,1.7514,352.7267,54.0988,0.3173,-0.0371,-0.0987,3.8396,345.7931
1.3089,1.2938,-0.015,-0.0982,0.0178,-0.0181,1.7748,352.5306,54.4998,0.3575,-0.0374,-0.1047,4.3033,344.9798
1.3593,1.3459,-0.013,-0.0454,-0.0262,0.0171,2.0385,352.3326,55.0268,0.3973,-0.0376,-0.1085,4.733,345.4673
1.4102,1.3969,-0.013,-0.0798,-0.0012,-0.0501,1.8606,352.2861,55.4469,0.4374,-0.0389,-0.1081,3.4628,345.9237
1.4746,1.4989,0.024,-0.0773,0.0695,0.0004,2.5113,352.5539,56.2512,0.4799,-0.0408,-0.108,4.3084,347.1615
1.5395,1.5505,0.011,-0.0737,0.0367,0.0767,3.0027,352.2132,56.8474,0.5373,-0.0422,-0.1064,3.1669,347.6408
1.6034,1.6181,0.015,-0.0503,0.0212,0.0077,3.3688,352.0593,57.4981,0.6011,-0.0449,-0.1046,2.7665,347.0477
1.6703,1.669,-0.001,-0.0068,-0.0494,0.0495,4.0982,352.1914,58.116,0.6664,-0.0515,-0.1007,2.1869,346.4418
1.7367,1.7202,-0.016,-0.0324,-0.0226,0.08,4.8235,352.0162,58.5003,0.7336,-0.058,-0.0954,2.753,346.2827
1.7936,1.7703,-0.023,-0.0369,0.0079,0.0939,5.5547,351.6828,59.1087,0.7996,-0.0585,-0.0897,2.2613,346.217
1.8461,1.8212,-0.025,-0.0432,-0.05,0.0633,6.1205,351.5211,59.4868,0.8519,-0.0556,-0.0892,3.4991,349.1279
1.9065,1.9229,0.016,0.0381,0.0052,-0.028,7.0479,352.0146,60.4999,0.902,-0.0491,-0.091,4.473,348.4565
1.9584,1.9761,0.018,0.0202,-0.0503,-0.0156,7.1957,352.2174,61.2569,0.9669,-0.041,-0.0942,6.0338,349.113
2.0138,2.0407,0.027,0.0091,-0.0625,0.0339,7.5118,352.6205,61.8951,1.0174,-0.0377,-0.0935,6.2119,349.0386
2.0732,2.0932,0.02,-0.012,-0.0425,0.0853,8.0563,352.7319,62.4403,1.0642,-0.0389,-0.0895,6.1926,349.8841
2.1241,2.144,0.02,0.0456,0.1231,0.0329,8.4448,353.0123,62.7265,1.1133,-0.0421,-0.086,6.0644,350.0793
2.1915,2.1956,0.004,-0.0113,-0.0321,0.0722,8.563,353.6062,63.1665,1.1798,-0.0483,-0.0814,6.0931,350.3574
2.2474,2.2475,0.0,-0.045,0.1557,-0.0301,7.9812,353.9381,63.6648,1.2517,-0.0582,-0.0728,4.0721,349.875
2.3138,2.2981,-0.016,0.0502,0.1208,-0.0899,7.2159,354.842,63.803,1.3276,-0.0662,-0.067,4.2481,349.0152
2.3852,2.4001,0.015,0.046,-0.0452,0.0255,6.9895,356.0383,63.774,1.3985,-0.0666,-0.0627,3.198,348.3654
2.4401,2.4503,0.01,0.0544,-0.1074,0.0521,7.5692,355.9285,63.5531,1.4503,-0.0633,-0.0595,3.6514,346.8254
2.5065,2.5013,-0.005,0.022,-0.0851,-0.0502,7.5558,356.0606,63.2951,1.5301,-0.0577,-0.0537,5.7176,345.4041
2.5544,2.5524,-0.002,0.0312,-0.0727,-0.0362,7.224,356.3741,62.9154,1.5783,-0.0491,-0.053,6.5487,346.0153
2.6074,2.6036,-0.004,0.0327,-0.0581,-0.0485,6.8332,356.8746,62.6873,1.62,-0.0442,-0.051,6.1141,346.2591
2.6573,2.655,-0.002,0.0165,-0.0161,-0.0319,6.4106,357.0048,62.4895,1.662,-0.0428,-0.0463,5.529,346.5736
2.7152,2.7059,-0.009,0.0382,0.0851,-0.0366,5.8096,357.4533,62.1879,1.7069,-0.0444,-0.0408,4.8394,347.0599
2.7686,2.7578,-0.011,-0.0018,0.1061,-0.0063,5.9375,357.8177,61.8378,1.7584,-0.0497,-0.0339,3.8898,347.9659
2.818,2.808,-0.01,0.0547,0.1243,0.0015,6.4455,357.2479,61.5562,1.8113,-0.0572,-0.0257,2.464,348.5818
2.8704,2.859,-0.011,0.0905,0.0162,0.1011,6.7698,357.0193,61.2971,1.8656,-0.0649,-0.0188,2.6206,349.3268
2.9388,2.9605,0.022,-0.0028,0.0337,-0.0506,6.6042,357.4419,60.6548,1.9324,-0.0662,-0.0087,2.2391,348.3674
2.9893,3.0115,0.022,-0.041,-0.0169,-0.0234,6.4683,357.1955,60.6174,1.9821,-0.0623,-0.0058,3.3962,348.8889
3.0576,3.0622,0.005,0.0021,-0.1245,-0.0249,6.4572,356.9316,60.6496,2.0473,-0.0519,-0.0047,2.8355,348.7142
3.1071,3.1133,0.006,-0.0143,-0.154,-0.0117,6.5481,356.5683,60.6572,2.1101,-0.0405,-0.0088,5.5557,349.2704
3.1575,3.1648,0.007,-0.0175,-0.0656,-0.0056,6.5364,356.378,60.6417,2.16,-0.0329,-0.009,4.6273,349.296
3.2114,3.2164,0.005,-0.04,-0.1287,0.0245,6.7544,355.8584,60.6293,2.2098,-0.0285,-0.0096,3.1782,349.7313
3.2628,3.2675,0.005,-0.0347,0.0852,0.0151,6.891,355.3621,60.6151,2.2572,-0.029,-0.0097,2.3793,350.2097
3.3147,3.3182,0.003,0.0429,0.0729,0.0716,7.068,355.4236,60.4643,2.3045,-0.0307,-0.0109,1.959,350.6136
3.3652,3.3698,0.005,0.0017,0.1892,-0.0398,6.2328,355.277,60.3459,2.3542,-0.0338,-0.0131,1.5831,350.7821
3.4161,3.4372,0.021,0.0203,0.0288,-0.0265,5.5063,355.0787,60.2121,2.4058,-0.0387,-0.0149,0.7018,350.3545
3.468,3.4881,0.02,0.0579,0.0472,-0.0381,5.6837,355.3164,59.8418,2.4579,-0.0423,-0.0179,0.2605,349.5441
3.5349,3.5396,0.005,0.0473,-0.0049,-0.0429,5.7806,355.8225,59.5062,2.5296,-0.0424,-0.025,359.3093,350.2486
3.5873,3.5904,0.003,-0.025,-0.0583,-0.0337,5.575,355.9369,59.1762,2.5834,-0.0383,-0.0343,0.2998,350.4885
3.6547,3.6405,-0.014,-0.0038,-0.1009,0.02,5.5708,355.8992,59.0171,2.6543,-0.0355,-0.0404,0.1151,350.0685
3.7056,3.6917,-0.014,-0.0133,-0.0827,-0.0139,5.5789,355.9752,58.77,2.704,-0.0332,-0.0454,2.4854,350.4826
3.7625,3.7422,-0.02,-0.0118,-0.0633,-0.0394,5.4426,356.2065,58.6528,2.7726,-0.0279,-0.0509,2.5656,352.6821
3.8145,3.7937,-0.021,-0.0132,-0.0622,-0.0036,5.2615,356.2003,58.6544,2.8309,-0.027,-0.0535,2.1598,353.8267
3.8659,3.8444,-0.022,-0.0503,0.0522,0.0129,4.8925,356.0871,58.7837,2.8843,-0.0299,-0.0533,2.0721,354.3929
3.9153,3.8965,-0.019,-0.0744,0.0763,0.0489,5.2944,355.4483,59.0512,2.9353,-0.0342,-0.0513,2.0248,354.7373
3.9657,3.947,-0.019,-0.0129,0.1175,0.0183,5.5423,354.8373,59.2484,2.9857,-0.04,-0.0462,1.1254,354.6503
4.0171,3.9983,-0.019,-0.0162,-0.0112,0.0876,5.6726,354.518,59.2945,3.0378,-0.048,-0.0405,0.4187,355.108
4.0701,4.0636,-0.006,0.0355,-0.0259,0.151,6.6094,353.5146,59.3119,3.0866,-0.0516,-0.0351,0.0593,354.5479
4.135,4.1154,-0.02,-0.0488,0.0723,0.0591,7.4271,353.1325,59.0668,3.1518,-0.0529,-0.031,0.167,354.2496
4.1864,4.1681,-0.018,-0.0693,-0.0012,0.0199,7.2835,352.7107,58.8872,3.1998,-0.0497,-0.0331,0.3426,354.4773
4.2533,4.2703,0.017,0.0124,-0.1406,0.0507,8.0986,352.1649,58.3888,3.259,-0.0448,-0.0362,1.9542,353.2357
4.3027,4.3204,0.018,0.0596,-0.0522,0.0761,8.6087,352.1802,58.0984,3.2983,-0.0375,-0.0404,3.8038,353.3567
4.3536,4.3722,0.019,0.0074,-0.1136,0.0967,9.4239,351.9774,57.6656,3.3361,-0.0307,-0.0421,3.8082,352.8351
4.4115,4.4225,0.011,0.0369,0.1002,0.0792,9.9406,352.0754,57.3262,3.3873,-0.026,-0.041,2.8334,351.9796
4.4699,4.4735,0.004,0.1168,0.062,-0.0063,10.432,352.4219,56.8025,3.4286,-0.0274,-0.0384,2.3176,352.0973
4.5273,4.5245,-0.003,-0.0283,-0.0222,0.0583,10.5021,352.6859,56.495,3.476,-0.0307,-0.0361,1.8694,352.6885
4.5778,4.5765,-0.001,0.0511,0.1761,-0.0484,9.1969,353.3947,56.2187,3.5151,-0.0351,-0.0346,1.2785,353.5903
4.6302,4.6279,-0.002,0.1284,-0.0452,0.059,9.4585,354.3423,55.7738,3.5486,-0.0396,-0.0342,1.9074,353.7941
4.6821,4.6783,-0.004,0.118,0.145,0.0112,10.0513,355.1668,55.4557,3.5748,-0.042,-0.0351,1.8563,354.5513
4.7495,4.7297,-0.02,0.1185,0.0263,-0.0022,10.1954,356.1451,55.0822,3.6042,-0.042,-0.0344,1.1127,354.181
4.8159,4.8307,0.015,0.008,-0.1387,0.0474,10.0339,356.5919,54.9053,3.6262,-0.0386,-0.0341,2.6074,353.8321
4.8733,4.8816,0.008,0.0133,-0.0597,0.0125,9.8392,356.8593,54.9465,3.6375,-0.0332,-0.0373,4.129,354.406
4.9312,4.9327,0.002,-0.0318,-0.058,0.0225,9.5008,356.9508,55.1776,3.6393,-0.0274,-0.0357,3.1517,353.5405
4.9926,4.9841,-0.009,0.0334,-0.0829,-0.0027,9.3807,356.6619,55.439,3.6327,-0.0242,-0.0344,1.213,353.5018
5.049,5.0347,-0.014,0.085,0.0738,0.0062,9.4868,357.1049,55.6685,3.6199,-0.0241,-0.0347,1.9935,353.9916
5.1059,5.0865,-0.019,0.1198,0.1153,0.03,10.3518,357.33,55.7781,3.605,-0.0245,-0.0362,2.0327,353.2812
5.1643,5.1889,0.025,0.0591,0.0795,0.0664,10.4157,356.8748,55.7715,3.5842,-0.0276,-0.037,1.467,353.4249
5.2232,5.2416,0.018,0.1044,0.0635,0.013,10.2075,356.6754,55.69,3.5545,-0.0338,-0.0379,1.7157,354.412
5.2812,5.3067,0.026,0.1355,0.0919,0.0502,10.489,357.326,55.1657,3.5267,-0.0402,-0.0363,1.8379,355.3459
5.3386,5.3574,0.019,0.1657,-0.0484,-0.0279,10.5828,357.8545,54.8568,3.4975,-0.0436,-0.0365,0.7207,355.6447
5.397,5.4089,0.012,0.1063,-0.0634,0.0334,11.1234,358.5544,54.3763,3.4571,-0.0479,-0.0368,0.2853,357.701
