date,hour,min,sec,x,y,z
2019-01-07,17,49,16.2582,0.0087,0.0756,0.0910
2019-01-07,17,49,16.2976,0.0089,0.0763,0.0936
2019-01-07,17,49,16.3360,0.0096,0.0760,0.0955
2019-01-07,17,49,16.3790,0.0104,0.0759,0.0984
2019-01-07,17,49,16.4254,0.0112,0.0767,0.1019
2019-01-07,17,49,16.4668,0.0112,0.0763,0.1033
2019-01-07,17,49,16.5103,0.0107,0.0761,0.1053
2019-01-07,17,49,16.5537,0.0102,0.0757,0.1061
2019-01-07,17,49,16.6006,0.0093,0.0755,0.1078
2019-01-07,17,49,16.6421,0.0083,0.0755,0.1097
2019-01-07,17,49,16.6810,0.0075,0.0755,0.1109
2019-01-07,17,49,16.7274,0.0067,0.0756,0.1127
2019-01-07,17,49,16.7718,0.0065,0.0757,0.1139
2019-01-07,17,49,16.8163,0.0059,0.0760,0.1156
2019-01-07,17,49,16.8557,0.0058,0.0763,0.1170
2019-01-07,17,49,16.8996,0.0057,0.0764,0.1189
2019-01-07,17,49,16.9436,0.0064,0.0765,0.1213
2019-01-07,17,49,16.9870,0.0075,0.0763,0.1231
2019-01-07,17,49,17.0264,0.0092,0.0760,0.1256
2019-01-07,17,49,17.0654,0.0106,0.0758,0.1274
2019-01-07,17,49,17.1103,0.0127,0.0762,0.1309
2019-01-07,17,49,17.1468,0.0144,0.0763,0.1339
2019-01-07,17,49,17.1862,0.0161,0.0757,0.1376
2019-01-07,17,49,17.2286,0.0187,0.0745,0.1435
2019-01-07,17,49,17.2721,0.0210,0.0728,0.1490
2019-01-07,17,49,17.3120,0.0240,0.0704,0.1570
2019-01-07,17,49,17.3504,0.0260,0.0700,0.1647
2019-01-07,17,49,17.3949,0.0282,0.0693,0.1761
2019-01-07,17,49,17.4378,0.0293,0.0672,0.1836
2019-01-07,17,49,17.4777,0.0306,0.0668,0.1952
2019-01-07,17,49,17.5182,0.0310,0.0678,0.2048
2019-01-07,17,49,17.5611,0.0312,0.0692,0.2190
2019-01-07,17,49,17.6005,0.0311,0.0697,0.2296
2019-01-07,17,49,17.6410,0.0304,0.0708,0.2448
2019-01-07,17,49,17.6804,0.0292,0.0721,0.2567
2019-01-07,17,49,17.7248,0.0275,0.0735,0.2736
2019-01-07,17,49,17.7658,0.0261,0.0744,0.2857
2019-01-07,17,49,17.8052,0.0243,0.0754,0.3047
2019-01-07,17,49,17.8492,0.0226,0.0749,0.3187
2019-01-07,17,49,17.8916,0.0199,0.0737,0.3405
2019-01-07,17,49,17.9355,0.0178,0.0728,0.3571
2019-01-07,17,49,17.9775,0.0142,0.0715,0.3814
2019-01-07,17,49,18.0254,0.0099,0.0700,0.4088
2019-01-07,17,49,18.0648,0.0068,0.0691,0.4285
2019-01-07,17,49,18.1057,0.0027,0.0680,0.4575
2019-01-07,17,49,18.1502,0.0003,0.0671,0.4776
2019-01-07,17,49,18.1886,-0.0033,0.0681,0.5095
2019-01-07,17,49,18.2266,-0.0046,0.0675,0.5308
2019-01-07,17,49,18.2650,-0.0049,0.0689,0.5524
2019-01-07,17,49,18.3039,-0.0048,0.0727,0.5732
2019-01-07,17,49,18.3439,-0.0051,0.0762,0.6043
2019-01-07,17,49,18.3798,-0.0050,0.0773,0.6265
2019-01-07,17,49,18.4208,-0.0052,0.0774,0.6478
2019-01-07,17,49,18.4572,-0.0052,0.0773,0.6802
2019-01-07,17,49,18.4941,-0.0048,0.0762,0.7036
2019-01-07,17,49,18.5356,-0.0043,0.0753,0.7268
2019-01-07,17,49,18.5730,-0.0033,0.0734,0.7611
2019-01-07,17,49,18.6120,-0.0024,0.0704,0.7861
2019-01-07,17,49,18.6524,-0.0013,0.0672,0.8103
2019-01-07,17,49,18.6893,0.0007,0.0630,0.8466
2019-01-07,17,49,18.7253,0.0028,0.0596,0.8735
2019-01-07,17,49,18.7667,0.0063,0.0569,0.9010
2019-01-07,17,49,18.8081,0.0103,0.0517,0.9393
2019-01-07,17,49,18.8356,0.0134,0.0502,0.9669
2019-01-07,17,49,18.8745,0.0165,0.0511,0.9940
2019-01-07,17,49,18.9140,0.0183,0.0559,1.0230
2019-01-07,17,49,18.9539,0.0213,0.0617,1.0635
2019-01-07,17,49,18.9934,0.0216,0.0658,1.0890
2019-01-07,17,49,19.0343,0.0220,0.0723,1.1167
2019-01-07,17,49,19.0722,0.0227,0.0803,1.1557
2019-01-07,17,49,19.1127,0.0228,0.0842,1.1839
2019-01-07,17,49,19.1491,0.0222,0.0862,1.2112
2019-01-07,17,49,19.1880,0.0216,0.0874,1.2495
2019-01-07,17,49,19.2285,0.0209,0.0845,1.2765
2019-01-07,17,49,19.2674,0.0200,0.0803,1.3018
2019-01-07,17,49,19.3079,0.0179,0.0748,1.3399
2019-01-07,17,49,19.3448,0.0153,0.0693,1.3680
2019-01-07,17,49,19.3897,0.0118,0.0621,1.4088
2019-01-07,17,49,19.4282,0.0088,0.0574,1.4375
2019-01-07,17,49,19.4716,0.0046,0.0506,1.4823
2019-01-07,17,49,19.5120,0.0015,0.0491,1.5119
2019-01-07,17,49,19.5480,-0.0005,0.0538,1.5411
2019-01-07,17,49,19.5869,-0.0034,0.0610,1.5831
2019-01-07,17,49,19.6284,-0.0037,0.0680,1.6144
2019-01-07,17,49,19.6678,-0.0031,0.0724,1.6590
2019-01-07,17,49,19.7112,-0.0019,0.0754,1.6873
2019-01-07,17,49,19.7522,-0.0013,0.0817,1.7180
2019-01-07,17,49,19.7936,-0.0012,0.0878,1.7613
2019-01-07,17,49,19.8340,-0.0019,0.0887,1.7927
2019-01-07,17,49,19.8710,-0.0028,0.0886,1.8361
2019-01-07,17,49,19.9169,-0.0035,0.0863,1.8671
2019-01-07,17,49,19.9563,-0.0043,0.0813,1.9117
2019-01-07,17,49,19.9943,-0.0044,0.0754,1.9410
2019-01-07,17,49,20.0377,-0.0042,0.0678,1.9867
2019-01-07,17,49,20.0767,-0.0049,0.0609,2.0175
2019-01-07,17,49,20.1136,-0.0051,0.0545,2.0503
2019-01-07,17,49,20.1525,-0.0054,0.0464,2.0955
2019-01-07,17,49,20.1930,-0.0064,0.0464,2.1248
2019-01-07,17,49,20.2324,-0.0075,0.0466,2.1560
2019-01-07,17,49,20.2713,-0.0086,0.0449,2.2002
2019-01-07,17,49,20.3128,-0.0133,0.0592,2.2296
2019-01-07,17,49,20.3537,-0.0183,0.0666,2.2726
2019-01-07,17,49,20.3947,-0.0215,0.0738,2.3003
2019-01-07,17,49,20.4336,-0.0245,0.0793,2.3298
2019-01-07,17,49,20.4750,-0.0284,0.0822,2.3699
2019-01-07,17,49,20.5170,-0.0312,0.0808,2.3986
2019-01-07,17,49,20.5534,-0.0356,0.0788,2.4399
2019-01-07,17,49,20.5933,-0.0388,0.0744,2.4681
2019-01-07,17,49,20.6338,-0.0423,0.0688,2.4969
2019-01-07,17,49,20.6707,-0.0470,0.0613,2.5380
2019-01-07,17,49,20.7097,-0.0504,0.0559,2.5683
2019-01-07,17,49,20.7506,-0.0536,0.0533,2.5978
2019-01-07,17,49,20.7875,-0.0589,0.0496,2.6409
2019-01-07,17,49,20.8315,-0.0630,0.0510,2.6719
2019-01-07,17,49,20.8729,-0.0674,0.0530,2.7165
2019-01-07,17,49,20.9128,-0.0692,0.0593,2.7464
2019-01-07,17,49,20.9553,-0.0714,0.0653,2.7906
2019-01-07,17,49,20.9962,-0.0720,0.0693,2.8200
2019-01-07,17,49,21.0371,-0.0732,0.0733,2.8603
2019-01-07,17,49,21.0786,-0.0744,0.0744,2.8883
2019-01-07,17,49,21.1220,-0.0761,0.0746,2.9281
2019-01-07,17,49,21.1590,-0.0770,0.0724,2.9553
2019-01-07,17,49,21.1984,-0.0771,0.0687,2.9837
2019-01-07,17,49,21.2383,-0.0768,0.0634,3.0245
2019-01-07,17,49,21.2773,-0.0756,0.0578,3.0550
2019-01-07,17,49,21.3182,-0.0740,0.0504,3.0979
2019-01-07,17,49,21.3591,-0.0721,0.0469,3.1274
2019-01-07,17,49,21.3996,-0.0701,0.0443,3.1583
2019-01-07,17,49,21.4385,-0.0671,0.0407,3.2011
2019-01-07,17,49,21.4790,-0.0651,0.0447,3.2306
2019-01-07,17,49,21.5184,-0.0635,0.0472,3.2738
2019-01-07,17,49,21.5593,-0.0626,0.0483,3.2983
2019-01-07,17,49,21.5958,-0.0623,0.0518,3.3228
2019-01-07,17,49,21.6367,-0.0630,0.0597,3.3559
2019-01-07,17,49,21.6766,-0.0644,0.0665,3.3788
2019-01-07,17,49,21.7161,-0.0657,0.0712,3.3996
2019-01-07,17,49,21.7590,-0.0678,0.0748,3.4303
2019-01-07,17,49,21.7989,-0.0697,0.0751,3.4510
2019-01-07,17,49,21.8414,-0.0723,0.0753,3.4807
2019-01-07,17,49,21.8773,-0.0743,0.0748,3.5013
2019-01-07,17,49,21.9213,-0.0774,0.0733,3.5295
2019-01-07,17,49,21.9607,-0.0802,0.0716,3.5478
2019-01-07,17,49,22.0041,-0.0847,0.0704,3.5779
2019-01-07,17,49,22.0451,-0.0884,0.0700,3.5966
2019-01-07,17,49,22.0855,-0.0939,0.0688,3.6248
2019-01-07,17,49,22.1279,-0.0980,0.0677,3.6423
2019-01-07,17,49,22.1684,-0.1033,0.0692,3.6684
2019-01-07,17,49,22.2083,-0.1061,0.0722,3.6838
2019-01-07,17,49,22.2497,-0.1088,0.0739,3.6998
2019-01-07,17,49,22.2902,-0.1107,0.0769,3.7212
2019-01-07,17,49,22.3286,-0.1113,0.0781,3.7335
2019-01-07,17,49,22.3735,-0.1106,0.0805,3.7509
2019-01-07,17,49,22.4101,-0.1085,0.0812,3.7602
2019-01-07,17,49,22.4564,-0.1052,0.0799,3.7728
2019-01-07,17,49,22.4944,-0.1022,0.0781,3.7777
2019-01-07,17,49,22.5353,-0.0974,0.0769,3.7842
2019-01-07,17,49,22.5802,-0.0943,0.0775,3.7866
2019-01-07,17,49,22.6207,-0.0891,0.0779,3.7904
2019-01-07,17,49,22.6621,-0.0855,0.0785,3.7914
2019-01-07,17,49,22.7040,-0.0794,0.0789,3.7926
2019-01-07,17,49,22.7480,-0.0726,0.0786,3.7932
2019-01-07,17,49,22.7884,-0.0677,0.0781,3.7927
