dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y
0.0629,0.099,0.036,-0.2266,0.0576,-1.0156,-0.3008,-0.0626,-0.2256,0.0874,-0.0737,3.3639,1.0664,181.779
0.1258,0.1511,0.025,-0.2393,0.041,-0.9609,-0.2865,-0.0502,-0.151,0.0869,-0.074,3.3561,0.9602,181.8155
0.1852,0.2177,0.033,-0.1855,0.1162,-1.001,-0.2428,-0.0338,-0.0722,0.0861,-0.0754,3.3493,1.1314,181.1221
0.2461,0.2684,0.022,-0.2158,0.0801,-1.002,-0.2195,-0.0167,-0.0446,0.0839,-0.0787,3.3418,1.5651,180.7464
0.3055,0.3208,0.015,-0.2246,0.0605,-0.9951,-0.1653,0.0142,-0.0107,0.0804,-0.0809,3.3325,1.7379,179.4203
0.3679,0.372,0.004,-0.2207,0.0791,-0.9824,-0.1316,0.0138,0.0045,0.0738,-0.0827,3.3208,1.8667,178.6149
0.4318,0.4232,-0.009,-0.1904,0.0947,-0.9824,-0.1029,0.0073,0.0141,0.0685,-0.084,3.3114,1.821,178.2382
0.4887,0.4746,-0.014,-0.1875,0.126,-1.0078,-0.1048,0.0082,0.0179,0.0622,-0.0854,3.2988,1.8647,178.3453
0.5531,0.5765,0.023,-0.2363,0.0762,-0.9756,-0.093,0.0428,0.0339,0.0584,-0.0853,3.2841,1.684,178.5652
0.615,0.6275,0.012,-0.1953,0.1211,-1.0176,-0.0869,0.047,0.041,0.0568,-0.0842,3.273,1.7099,179.4707
0.6734,0.6793,0.006,-0.2373,0.083,-0.999,-0.0892,0.0408,0.0477,0.0555,-0.0819,3.2577,1.9772,180.0789
0.7288,0.7466,0.018,-0.1924,0.0146,-1.0313,-0.0766,0.0283,0.0625,0.0549,-0.0786,3.2444,1.9381,180.9142
0.7812,0.7981,0.017,-0.2061,0.0273,-1.0293,-0.0404,0.0314,0.0686,0.0548,-0.0777,3.2309,1.877,181.2492
0.8351,0.8482,0.013,-0.2129,0.0322,-1.0449,-0.0246,0.0362,0.084,0.0554,-0.0785,3.2103,1.7886,181.3368
0.8871,0.8996,0.012,-0.1963,0.0371,-1.042,0.0154,0.0286,0.0876,0.0568,-0.0799,3.1909,1.728,181.3044
0.942,0.9502,0.008,-0.2158,0.0283,-1.0273,0.0346,0.0259,0.0662,0.0585,-0.0825,3.1704,1.6794,181.8417
0.9934,1.0005,0.007,-0.2031,0.0586,-0.9893,0.0418,0.0239,0.0507,0.0605,-0.0852,3.1482,1.6628,182.4973
1.0448,1.0509,0.006,-0.2295,0.0313,-0.9502,0.045,0.0215,0.0438,0.0623,-0.0867,3.125,1.2816,182.9012
1.1022,1.1042,0.002,-0.2402,0.0361,-0.9727,0.0661,0.0103,0.0484,0.0656,-0.0894,3.0912,1.1195,183.436
1.1566,1.1546,-0.002,-0.2598,0.0352,-0.9531,0.0816,0.0055,0.0449,0.0667,-0.0877,3.0671,1.9789,184.1095
1.2096,1.2209,0.011,-0.2529,0.0449,-0.9902,0.0722,-0.0437,0.0297,0.0657,-0.0841,3.0477,1.3044,183.6249
1.2635,1.272,0.008,-0.2393,0.04,-1.0098,0.0709,-0.0508,0.0206,0.0645,-0.0814,3.0301,0.8644,184.2355
1.3179,1.3249,0.007,-0.2559,0.0244,-0.9785,0.0784,-0.0514,-0.0053,0.0644,-0.0814,3.0048,0.9965,185.1782
1.3713,1.3789,0.008,-0.1758,0.0869,-1.0693,0.0745,-0.044,-0.0448,0.0635,-0.0792,2.9876,1.5688,185.3826
1.4232,1.4433,0.02,-0.1055,0.0566,-1.1396,0.0342,-0.0248,-0.064,0.0624,-0.0786,2.97,1.4949,185.0988
1.4776,1.4952,0.018,-0.1719,0.0254,-0.9326,0.015,0.0063,-0.0838,0.0622,-0.0807,2.9512,1.681,185.149
1.5315,1.546,0.014,-0.1279,0.0889,-0.9912,0.0069,0.0352,-0.0779,0.062,-0.084,2.9312,1.8992,185.2311
1.5865,1.6113,0.025,-0.1475,0.1162,-1.0615,-0.0073,0.0586,-0.0517,0.0591,-0.0861,2.9038,2.3391,185.4957
1.6364,1.6113,-0.025,-0.1475,0.1162,-1.0615,-0.0073,0.0586,-0.0517,0.0587,-0.0875,2.88,1.9981,185.5106
1.6908,1.7164,0.026,-0.1914,0.0459,-0.9287,-0.0441,0.0672,-0.0292,0.0576,-0.0907,2.8559,2.126,185.2989
1.7437,1.7669,0.023,-0.1963,0.0439,-0.9707,-0.0428,0.067,-0.027,0.0572,-0.094,2.8299,2.2984,185.1642
1.7981,1.8199,0.022,-0.1729,0.0723,-1.0518,-0.0408,0.0743,-0.032,0.0557,-0.0962,2.8029,2.4921,185.1778
1.8515,1.8199,-0.032,-0.1729,0.0723,-1.0518,-0.0408,0.0743,-0.032,0.0525,-0.0979,2.7656,2.3475,184.9256
1.9065,1.8861,-0.02,-0.2207,0.0254,-0.9736,-0.0358,0.0874,-0.0356,0.0506,-0.0985,2.7315,2.0623,184.7541
1.9574,1.9372,-0.02,-0.2314,0.0068,-0.9551,-0.0287,0.0777,-0.0405,0.0482,-0.0988,2.6989,2.1679,184.5154
2.0108,1.988,-0.023,-0.2246,0.041,-1.0029,-0.0214,0.0668,-0.0312,0.0451,-0.0955,2.6688,2.884,183.5669
2.0647,2.0896,0.025,-0.1943,0.0547,-1.0605,0.0044,0.03,-0.0209,0.0405,-0.0897,2.6396,1.4821,183.4951
2.1336,2.141,0.007,-0.2354,0.0352,-1.0195,0.0037,-0.0172,-0.0223,0.0367,-0.0901,2.5995,0.0426,183.6826
