,Unnamed: 0,dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y,old_x,old_y,old_z,raw_pred_x,raw_pred_y,raw_pred_z,pred_x,pred_y,pred_z
0,0,0.0702,0.068,-0.002,-0.008358859330530401,-0.0338,0.019604577799391773,7.2699,356.4494,74.2291,0.25242827527152994,0.0473,-0.002036134435810898,5.6285,0.8854,0.00041827161345632996,-0.0016323639695999999,0.0009404479394499242,-0.005750560865031696,-0.023253048,0.013487165342869565,-0.00038901073301279956,-0.0016323639695999999,0.000952923983872698
1,1,0.1403,0.1501,0.01,0.023057255778095892,0.0342,0.03526943373494198,8.4095,355.7126,75.9291,0.2863013130714921,0.0466,0.0060048425074677725,5.394,1.4364,-0.0002224907966259121,-0.0016154230427999994,0.00360127715582678,0.010089312709404623,0.00024166800000000738,0.03771656093010001,0.00038430400836660415,-0.0016154230427999994,0.0035782949854007446
2,2,0.1953,0.2012,0.006,0.0793309794754141,-0.028,0.051279681117099615,8.6814,355.4763,76.3116,0.30701509629054835,0.0473,0.013315053499904392,5.5463,0.813,-0.003077873348916253,-0.002432191302799999,0.007236755303698384,0.05284871064665282,-0.014850331999999992,0.0653563090522167,0.003341694398495651,-0.002432191302799999,0.007131287099654366
3,3,0.255,0.2517,-0.003,0.037084252196371514,-0.0089,-0.00548891966018039,9.0536,355.3451,76.4522,0.3273683910835993,0.0479,0.020425144291671103,5.4044,0.7283,-0.007480705553971127,-0.0036296160529999985,0.0110030777053117,0.07454522323666195,-0.020057365999999993,0.062144961715831566,0.007838842790335677,-0.0036296160529999985,0.010784473681329784
4,4,0.305,0.3196,0.015,0.09832073102196263,0.027000000000000003,0.008227627319396106,9.516,355.3738,76.1544,0.3586726832147749,0.0474,0.03264362595536486,5.3494,0.9842,-0.013559084716806018,-0.003970984352999998,0.014416812698043182,0.12272238143742363,-0.006827365999999993,0.06617649910233565,0.014030891246117061,-0.003970984352999998,0.013987412295952326
5,5,0.3601,0.373,0.013,0.038993209423282486,-0.0158,-0.03965916815658183,10.0479,355.5599,75.6182,0.387588042684738,0.0461,0.0441184674236734,5.4751,1.0589,-0.021434317278499163,-0.004817268007999997,0.017029144915643953,0.14377793466180772,-0.015359049999999992,0.044761341481144606,0.02199728128155371,-0.004817268007999997,0.01630693753167678
6,6,0.4099,0.4237,0.014,0.09096247269478183,0.0222,0.02602976298876101,10.584,355.5026,75.8411,0.4199428413911454,0.043,0.05589373814955709,5.3619,0.9083,-0.030758703568163737,-0.005042591195599996,0.020039087172567388,0.18817125983576904,-0.004524561999999989,0.05746490701017953,0.03141239749326464,-0.005042591195599996,0.019019780835090393
7,7,0.47,0.4754,0.005,0.051592717788370115,0.0167,-0.028725623948133806,10.9511,355.7053,75.8889,0.4713004969709373,0.0391,0.07286433664658935,4.6115,0.7857,-0.04385940951832288,-0.004723375815199995,0.022655798182632,0.21855833875876327,0.005311404000000009,0.04054608901720769,0.044579933825876085,-0.004723375815199995,0.021276251493460706
8,8,0.5202,0.5422,0.022,0.09433976344336506,-0.0141,-0.013234010482462229,11.4588,355.8609,76.1965,0.5172817848634328,0.0376,0.08787670367339269,4.1622,0.8901,-0.057132742790746,-0.004804962461599995,0.024570805891620858,0.0,0.0,0.46498072147369385,0.04494254181110965,-0.004723375815199995,0.04461546706541674
9,9,0.5749,0.5963,0.021,0.10487864196188773,-0.0328,-0.02976979106796293,11.8808,356.2723,75.9433,0.5664386161489959,0.0377,0.1030152616616115,4.1666,0.946,-0.07468316893398216,-0.005855640061599993,0.025849555733472862,0.0,0.0,0.5161505937576294,0.04540867768701146,-0.004723375815199995,0.0728450563149959
