,dt[s],sensor_dt[s],pos-sens_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pos_x,pos_y,pos_z,rot_x,rot_y,old_x,old_y,old_z,raw_pred_x,raw_pred_y,raw_pred_z,pred_x,pred_y,pred_z
0,0.0702,0.068,-0.002,-0.0211,-0.0338,-0.003,7.2699,356.4494,74.2291,0.0673,0.0473,0.2433,5.6285,0.8854,0.001016659612583278,-0.0016323639695999999,-0.00016061351618400414,-0.014515956000000002,-0.023253048,-0.00206388,-0.0010211372729659112,-0.0016323639695999999,-0.00012912063815948244
1,0.1403,0.1501,0.01,-0.0281,0.0342,0.0314,8.4095,355.7126,75.9291,0.0683,0.0466,0.2781,5.394,1.4364,0.00342098175691111,-0.0016154230427999994,0.0011469887211932078,-0.033820094,0.00024166800000000738,0.019507292000000002,-0.003356902344004728,-0.0016154230427999994,0.0012973400580442742
2,0.1953,0.2012,0.006,-0.028999999999999998,-0.027999999999999997,0.0899,8.6814,355.4763,76.3116,0.0666,0.0473,0.3,5.5463,0.813,0.0061935566052636545,-0.002432191302799999,0.0048460074551088545,-0.049451094,-0.01485033199999999,0.067963392,-0.0060234002309951275,-0.002432191302799999,0.005073541840556934
3,0.255,0.2517,-0.003,0.0149,-0.0089,0.0344,9.0536,355.3451,76.4522,0.065,0.0479,0.3215,5.4044,0.7283,0.008692007856054094,-0.0036296160529999985,0.010073612758322397,-0.0407337,-0.020057365999999993,0.088089456,-0.008388159846027718,-0.0036296160529999985,0.010362967879540141
4,0.305,0.3196,0.015,0.0175,0.027000000000000003,0.0971,9.516,355.3738,76.1544,0.0613,0.0474,0.3549,5.3494,0.9842,0.010416222358944169,-0.003970984352999998,0.01682841580473377,-0.0321587,-0.006827365999999993,0.135668456,-0.009879340905356283,-0.003970984352999998,0.017173008914371322
5,0.3601,0.373,0.013000000000000001,0.0484,-0.0158,0.0274,10.0479,355.5599,75.6182,0.0577,0.0461,0.3858,5.4751,1.0589,0.010901281343194048,-0.004817268007999997,0.025111427654155777,-0.006023668000000006,-0.015359049999999992,0.15046390799999998,-0.010057976773385817,-0.004817268007999997,0.02546828809849287
6,0.4099,0.4237,0.013999999999999999,-0.0016,0.0222,0.0946,10.584000000000001,355.5026,75.8411,0.0547,0.043,0.4201,5.3619,0.9083,0.011395333549137177,-0.005042591195599996,0.03489712356638914,-0.006804532000000006,-0.004524561999999989,0.196632492,-0.010241570795384087,-0.005042591195599996,0.03526472751819963
7,0.47,0.4754,0.005,0.0411,0.0167,0.0424,10.9511,355.7053,75.8889,0.0516,0.0391,0.4741,4.6115,0.7857,0.010532170089504432,-0.004723375815199995,0.0482286884312009,0.01740254599999999,0.005311404000000009,0.22160524399999998,-0.00901314490060822,-0.004723375815199995,0.04856760851156993
8,0.5202,0.5422,0.022000000000000002,0.0372,-0.0141,0.0877,11.4588,355.8609,76.1965,0.049,0.0376,0.5224,4.1622,0.8901,0.008946534050263355,-0.004804962461599995,0.061545384306580846,0.0,0.0,0.39936286211013794,-0.008701707982647612,-0.004723375815199995,0.06861320502722931
9,0.5749,0.5963,0.021,0.0559,-0.0328,0.0936,11.8808,356.2723,75.9433,0.0471,0.0377,0.5738,4.1666,0.946,0.005639327012336558,-0.005855640061599993,0.07882875899370465,0.0,0.0,0.41031748056411743,-0.008331150047591952,-0.004723375815199995,0.09105451203788506
